features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a household item,categorising,0.45,0.75,
is a tool,categorising,0.6,0.5,
has bristles,sensory,0.9,0.12,0.07
has handle,sensory,0.9,0.5,0.03
has head,sensory,0.45,0.19,0.14
is hard,sensory,0.4,0.44,0.02
is made of wood,sensory,0.35,0.31,0.01
is long and/or thin,sensory,0.25,0.25,0.02
is soft,sensory,0.25,0.19,0.09
is made of plastic,sensory,0.2,0.5,0.03
is small,sensory,0.15,0.69,0.03
can sweep,functional,0.65,0.06,0.02
can clean,functional,0.6,0.12,0.05
can smooth hair,functional,0.3,0.06,0.02
can apply paint,functional,0.25,0.06,0.02
is hand held,functional,0.25,0.06,0.02
is useful,functional,0.2,0.75,0.01
is found in the garden,encyclopaedic,0.2,0.12,0.06
