features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a mammal,categorising,0.15,0.5,
is a animal,categorising,1.0,0.88,
has trunk,sensory,0.9,0.06,0.08
is large,sensory,0.9,0.62,0.06
has ears,sensory,0.6,0.69,0.09
has tusks,sensory,0.6,0.06,0.08
is grey,sensory,0.6,0.19,0.09
has large ears,sensory,0.55,0.12,0.09
has legs,sensory,0.45,0.88,0.12
has feet,sensory,0.4,0.44,0.06
has skin,sensory,0.4,0.44,0.1
has tail,sensory,0.4,0.81,0.11
has four legs,sensory,0.35,0.94,0.13
has thick skin,sensory,0.3,0.12,0.08
has large feet,sensory,0.3,0.06,0.08
is heavy,sensory,0.3,0.25,0.15
has eyes,sensory,0.2,1.0,0.13
has small tail,sensory,0.2,0.25,0.14
is slow,sensory,0.2,0.12,0.08
has ivory tusks,sensory,0.15,0.06,0.08
can trumpet,functional,0.45,0.06,0.08
can be ridden,functional,0.35,0.19,0.12
can pull,functional,0.35,0.19,0.12
can be trained,functional,0.25,0.25,0.17
can carry,functional,0.25,0.19,0.14
can spray,functional,0.25,0.06,0.08
can breed,functional,0.2,0.56,0.07
can trample,functional,0.2,0.06,0.08
can walk,functional,0.2,0.75,0.08
can pick things up,functional,0.15,0.06,0.08
can run,functional,0.15,0.88,0.12
is strong,encyclopaedic,0.5,0.31,0.21
is wild,encyclopaedic,0.35,0.75,0.09
is vegetarian,encyclopaedic,0.25,0.5,0.09
is found India,encyclopaedic,0.2,0.06,0.08
is dangerous,encyclopaedic,0.15,0.25,0.05
is found in a zoo,encyclopaedic,0.15,0.19,0.08
is found in Africa,encyclopaedic,0.15,0.19,0.11
is gregarious,encyclopaedic,0.15,0.12,0.09
is herbivorous,encyclopaedic,0.15,0.25,0.15
