,respondent 0,respondent 1,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 28,respondent 29,respondent 30,respondent 31,respondent 32,respondent 33,std,mean,nonmissing
barrel,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.111036836495492,1.911764705882353,34
basket,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,1.1041971458477855,2.588235294117647,34
brush,1.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,3.0,4.0,5.0,5.0,1.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,1.2581286502320657,3.588235294117647,34
candle,2.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,5.0,2.0,4.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.2178119533221001,2.823529411764706,34
comb,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0,1.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,3.0,3.0,2.0,1.364497648382755,3.676470588235294,34
dustbin,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.3367825261730646,3.0294117647058822,34
envelope,5.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0948754395656124,2.2058823529411766,34
glass,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,4.0,3.0,5.0,4.0,4.0,1.1749767699755493,4.205882352941177,34
key,5.0,4.0,5.0,3.0,4.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,3.0,2.0,5.0,3.0,5.0,1.331438046897892,3.909090909090909,33
piano,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0380462932605037,1.7941176470588236,34
plug,2.0,4.0,5.0,1.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,,1.0,2.0,,1.0,5.0,1.0,5.0,1.313315798693054,3.21875,32
stool,4.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,5.0,2.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,5.0,4.0,2.0,1.348730174563825,3.3823529411764706,34
suitcase,1.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,1.2064148209229704,2.6176470588235294,34
toaster,5.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,5.0,1.0,4.0,2.0,4.0,4.0,3.0,1.2627248921668104,3.735294117647059,34
toothbrush,2.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,1.0,5.0,4.0,2.0,5.0,4.0,4.0,1.2428046024445665,4.029411764705882,34
watering can,2.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.2108393400069135,2.5588235294117645,34
